Unique.ID,Grantor,Grantee,Program,Year,Date,EndDate,Amount,AmendmentNumber,Funding.Agency,Funding.Source,Category,Location,Issued,Funding.Type,Years,Average.By.Year,City.Year,Population,Amount.Per.Capita,Amount.Per.PEH,Population.PEH,ExpenditureType
,City of Imperial Beach,,,2022.0,,,0,,,,,,,,,,City of Imperial Beach|2022,,$0.00 ,$0.00 ,0.0,Other/Unknown
2109230609-0200.pdf,City of La Mesa,Home Start,housing stability services,2021.0,9/23/2021,9/30/2022,"$338,000.00 ",,U.S. Department of Housing and Urban Development,CDBG-CV,Homelessness Prevention,,,,,,City of La Mesa|2021,,$0.00 ,$0.00 ,0.0,Crisis Management
,City of La Mesa,Home Start,housing navigation services,2022.0,9/13/2022,6/30/2025,"$574,000.00 ",,U.S Treasury Department,American Rescue Plan Act (ARPA),,,,,,,City of La Mesa|2022,,$0.00 ,$0.00 ,53.0,Crisis Management
,City of Lemon Grove,Sheriff's Department,restroom and hygiene services,,6/30/2020,,"$1,233.12 ",,,CESF 2020-Cororavirus Emergency Supplemental Funding 2020,,,,,,,44012|,,$0.00 ,$0.00 ,,Crisis Management
,City of Lemon Grove,Sheriff's Department,restroom and hygiene services,,12/21/2020,,157.62,,,CESF 2020-Cororavirus Emergency Supplemental Funding 2020,,,,,,,44186|,,$0.00 ,$0.00 ,,Crisis Management
,City of Lemon Grove,Sheriff's Department,restroom and hygiene services,,1/4/2021,,$74.65 ,,,CESF 2020-Cororavirus Emergency Supplemental Funding 2020,,,,,,,44200|,,$0.00 ,$0.00 ,,Crisis Management
,City of Lemon Grove,Sheriff's Department,restroom and hygiene services,,1/6/2021,,"$5,799.84 ",,,CESF 2020-Cororavirus Emergency Supplemental Funding 2020,,,,,,,44202|,,$0.00 ,$0.00 ,,Crisis Management
,City of Lemon Grove,Sheriff's Department,restroom and hygiene services,,1/27/2021,,$117.19 ,,,CESF 2020-Cororavirus Emergency Supplemental Funding 2020,,,,,,,44223|,,$0.00 ,$0.00 ,,Crisis Management
,City of Lemon Grove,Sheriff's Department,restroom and hygiene services,,2/3/2021,,"$4,219.07 ",,,CESF 2020-Cororavirus Emergency Supplemental Funding 2020,,,,,,,44230|,,$0.00 ,$0.00 ,,Crisis Management
,City of Lemon Grove,Sheriff's Department,restroom and hygiene services,,2/24/2021,,$109.91 ,,,CESF 2020-Cororavirus Emergency Supplemental Funding 2020,,,,,,,44251|,,$0.00 ,$0.00 ,,Crisis Management
,City of Lemon Grove,Sheriff's Department,restroom and hygiene services,,3/24/2021,,$146.74 ,,,CESF 2020-Cororavirus Emergency Supplemental Funding 2020,,,,,,,44279|,,$0.00 ,$0.00 ,,Crisis Management
,City of Lemon Grove,Sheriff's Department,restroom and hygiene services,,4/14/2021,,"$4,444.93 ",,,CESF 2020-Cororavirus Emergency Supplemental Funding 2020,,,,,,,44300|,,$0.00 ,$0.00 ,,Crisis Management
,City of Lemon Grove,Sheriff's Department,restroom and hygiene services,,4/21/2021,,$336.58 ,,,CESF 2020-Cororavirus Emergency Supplemental Funding 2020,,,,,,,44307|,,$0.00 ,$0.00 ,,Crisis Management
,City of Lemon Grove,Sheriff's Department,restroom and hygiene services,,6/30/2021,,$918.03 ,,,CESF 2020-Cororavirus Emergency Supplemental Funding 2020,,,,,,,44377|,,$0.00 ,$0.00 ,,Crisis Management
,City of Lemon Grove,Sheriff's Department,restroom and hygiene services,,6/30/2021,,$425.39 ,,,CESF 2020-Cororavirus Emergency Supplemental Funding 2020,,,,,,,44377|,,$0.00 ,$0.00 ,,Crisis Management
,City of Lemon Grove,Sheriff's Department,restroom and hygiene services,,6/30/2021,,"$3,423.38 ",,,CESF 2020-Cororavirus Emergency Supplemental Funding 2020,,,,,,,44377|,,$0.00 ,$0.00 ,,Crisis Management
,City of Lemon Grove,Sheriff's Department,restroom and hygiene services,,11/3/2021,,"$3,838.76 ",,,CDBG-CV,,,,,,,City of Lemon Grove|,,$0.00 ,$0.00 ,,Crisis Management
,City of Lemon Grove,Home Start,homelessness services,,6/9/2021,,"$2,862.79 ",,,CDBG-CV,,,,,,,City of Lemon Grove|,,$0.00 ,$0.00 ,,Crisis Management
,City of Lemon Grove,Home Start,homelessness services,,6/30/2021,,"$4,700.02 ",,,CDBG-CV,,,,,,,44503|,,$0.00 ,$0.00 ,,Crisis Management
,City of Lemon Grove,Home Start,homelessness services,,8/25/2021,,"$3,706.56 ",,,CDBG-CV,,,,,,,City of Lemon Grove|,,$0.00 ,$0.00 ,,Crisis Management
,City of Lemon Grove,Home Start,homelessness services,,9/29/2021,,"$3,706.56 ",,,CDBG-CV,,,,,,,City of Lemon Grove|,,$0.00 ,$0.00 ,,Crisis Management
,City of Lemon Grove,Home Start,homelessness services,,11/9/2021,,"$3,706.56 ",,,CDBG-CV,,,,,,,City of Lemon Grove|,,$0.00 ,$0.00 ,,Crisis Management
,City of Lemon Grove,Home Start,homelessness services,,12/1/2021,,"$2,865.97 ",,,CDBG-CV,,,,,,,City of Lemon Grove|,,$0.00 ,$0.00 ,,Crisis Management
,City of Lemon Grove,Home Start,homelessness services,,12/8/2021,,$535 ,,,CDBG-CV,,,,,,,City of Lemon Grove|,,$0.00 ,$0.00 ,,Crisis Management
,City of Lemon Grove,Home Start,homelessness services,,12/21/2021,,$400 ,,,CDBG-CV,,,,,,,City of Lemon Grove|,,$0.00 ,$0.00 ,,Crisis Management
,City of Lemon Grove,Home Start,local outreach programs,,12/2/2020,,$225.04 ,,,,Outreach Services,,,,,,City of Lemon Grove|,,$0.00 ,$0.00 ,,Crisis Management
,City of Lemon Grove,Home Start,local outreach programs,,3/17/2021,,"$3,538.08 ",,,,Outreach Services,,,,,,City of Lemon Grove|,,$0.00 ,$0.00 ,,Crisis Management
,City of Lemon Grove,Home Start,local outreach programs,,3/17/2021,,"$3,369.60 ",,,,Outreach Services,,,,,,City of Lemon Grove|,,$0.00 ,$0.00 ,,Crisis Management
,City of Lemon Grove,Home Start,local outreach programs,,4/14/2021,,"$3,653.91 ",,,,Outreach Services,,,,,,City of Lemon Grove|,,$0.00 ,$0.00 ,,Crisis Management
,City of Lemon Grove,Home Start,local outreach programs,,5/19/2021,,"$3,706.56 ",,,,Outreach Services,,,,,,City of Lemon Grove|,,$0.00 ,$0.00 ,,Crisis Management
,City of Lemon Grove,Home Start,local outreach programs,,6/9/2021,,$506.81 ,,,,Outreach Services,,,,,,City of Lemon Grove|,,$0.00 ,$0.00 ,,Crisis Management
,City of San Marcos,BREAD OF LIFE RESCUE MISSION,housing assistance,,12/15/2016,,"14,500.00",,,City Afforable Housing,Shelter,,,,,,City of San Marcos|,,$0.00 ,$0.00 ,,Crisis Management
,City of San Marcos,INTERFAITH SHELTER NETWORK,housing assistance,,12/15/2016,,"8,400.00",,,City Afforable Housing,,,,,,,City of San Marcos|,,$0.00 ,$0.00 ,,Crisis Management
,City of San Marcos,INTERFAITH COMMUNITY SERVICES,housing assistance,,1/25/2017,,"15,000.00",,,City Afforable Housing,Shelter,,,,,,City of San Marcos|,,$0.00 ,$0.00 ,,Crisis Management
,City of San Marcos,"OPERATION HOPE- NORTH COUNTY, INC.",housing assistance,,1/25/2017,,"25,000.00",,,City Afforable Housing,Shelter,,,,,,City of San Marcos|,,$0.00 ,$0.00 ,,Crisis Management
,City of San Marcos,SOLUTIONS FOR CHANGE,housing assistance,,9/7/2017,,"126,000.00",,,City Afforable Housing,Shelter,,,,,,City of San Marcos|,,$0.00 ,$0.00 ,,Prevention
,City of San Marcos,ALLIANCE FOR REGIONAL SOLUTIONS,housing assistance,,12/7/2017,,"66,300.00",,,City Afforable Housing,Shelter,,,,,,City of San Marcos|,,$0.00 ,$0.00 ,,Crisis Management
,City of San Marcos,ALLIANCE FOR REGIONAL SOLUTIONS,housing assistance,,11/29/2018,,"125,000.00",,,City Afforable Housing,Shelter,,,,,,City of San Marcos|,,$0.00 ,$0.00 ,,Crisis Management
,City of San Marcos,ALLIANCE FOR REGIONAL SOLUTIONS,housing assistance,,8/22/2019,,"125,000.00",,,City Afforable Housing,Shelter,,,,,,City of San Marcos|,,$0.00 ,$0.00 ,,Crisis Management
,City of San Marcos,ALLIANCE FOR REGIONAL SOLUTIONS,housing assistance,,10/28/2020,,"125,000.00",,,City Afforable Housing,Shelter,,,,,,City of San Marcos|,,$0.00 ,$0.00 ,,Crisis Management
,City of San Marcos,ALLIANCE FOR REGIONAL SOLUTIONS,housing assistance,,10/13/2021,,"125,000.00",,,City Afforable Housing,Shelter,,,,,,City of San Marcos|,,$0.00 ,$0.00 ,,Crisis Management
,City of San Marcos,"NORTH COUNTY  LIFELINE, INC.",housing assistance,,10/15/2014,,"3,901.26",,,CDBG,Housing Counseling,,,,,,City of San Marcos|,,$0.00 ,$0.00 ,,Prevention
,City of San Marcos,"NORTH COUNTY  LIFELINE, INC.",housing assistance,,1/22/2015,,"3,672.64",,,CDBG,Housing Counseling,,,,,,City of San Marcos|,,$0.00 ,$0.00 ,,Prevention
,City of San Marcos,"NORTH COUNTY  LIFELINE, INC.",housing assistance,,7/2/2015,,"7,458.81",,,CDBG,Housing Counseling,,,,,,City of San Marcos|,,$0.00 ,$0.00 ,,Prevention
,City of San Marcos,"NORTH COUNTY  LIFELINE, INC.",housing assistance,,7/2/2015,,"6,567.29",,,CDBG,Housing Counseling,,,,,,City of San Marcos|,,$0.00 ,$0.00 ,,Prevention
,City of San Marcos,"NORTH COUNTY  LIFELINE, INC.",housing assistance,,11/5/2015,,"8,798.78",,,CDBG,Housing Counseling,,,,,,City of San Marcos|,,$0.00 ,$0.00 ,,Prevention
,City of San Marcos,"NORTH COUNTY  LIFELINE, INC.",housing assistance,,1/28/2016,,"7,563.38",,,CDBG,Housing Counseling,,,,,,City of San Marcos|,,$0.00 ,$0.00 ,,Prevention
,City of San Marcos,"NORTH COUNTY  LIFELINE, INC.",housing assistance,,4/21/2016,,"6,000.00",,,CDBG,Housing Counseling,,,,,,City of San Marcos|,,$0.00 ,$0.00 ,,Prevention
,City of San Marcos,"NORTH COUNTY  LIFELINE, INC.",housing assistance,,4/21/2016,,"5,237.84",,,CDBG,Housing Counseling,,,,,,City of San Marcos|,,$0.00 ,$0.00 ,,Prevention
,City of San Marcos,SOLUTIONS FOR CHANGE,interprovider networking and program facilitation,,7/6/2022,,"7,115.49",,,CDBG,Supportive Services,,,,,,City of San Marcos|,,$0.00 ,$0.00 ,,Crisis Management
,City of San Marcos,SOLUTIONS FOR CHANGE,interprovider networking and program facilitation,,7/6/2022,,"7,123.30",,,CDBG,Supportive Services,,,,,,City of San Marcos|,,$0.00 ,$0.00 ,,Crisis Management
,City of San Marcos,SOLUTIONS FOR CHANGE,interprovider networking and program facilitation,,8/10/2022,,"7,108.49",,,CDBG,Supportive Services,,,,,,City of San Marcos|,,$0.00 ,$0.00 ,,Crisis Management
,City of San Marcos,211 SAN DIEGO,emergency housing and support services,,12/23/2014,,"4,352.00",,,CDBG,Technology/Data Services,,,,,,City of San Marcos|,,$0.00 ,$0.00 ,,Crisis Management
,City of San Marcos,211 SAN DIEGO,emergency housing and support services,,1/22/2015,,"4,352.00",,,CDBG,Technology/Data Services,,,,,,City of San Marcos|,,$0.00 ,$0.00 ,,Crisis Management
,City of San Marcos,211 SAN DIEGO,emergency housing and support services,,4/16/2015,,"4,352.00",,,CDBG,Technology/Data Services,,,,,,City of San Marcos|,,$0.00 ,$0.00 ,,Crisis Management
,City of San Marcos,211 SAN DIEGO,emergency housing and support services,,7/16/2015,,"4,352.00",,,CDBG,Technology/Data Services,,,,,,City of San Marcos|,,$0.00 ,$0.00 ,,Crisis Management
,City of San Marcos,211 SAN DIEGO,emergency housing and support services,,11/5/2015,,"4,352.00",,,CDBG,Technology/Data Services,,,,,,City of San Marcos|,,$0.00 ,$0.00 ,,Crisis Management
,City of San Marcos,211 SAN DIEGO,emergency housing and support services,,1/21/2016,,"4,352.00",,,CDBG,Technology/Data Services,,,,,,City of San Marcos|,,$0.00 ,$0.00 ,,Crisis Management
,City of San Marcos,211 SAN DIEGO,emergency housing and support services,,4/28/2016,,"4,352.00",,,CDBG,Technology/Data Services,,,,,,City of San Marcos|,,$0.00 ,$0.00 ,,Crisis Management
,City of San Marcos,211 SAN DIEGO,emergency housing and support services,,7/21/2016,,"4,352.00",,,CDBG,Technology/Data Services,,,,,,City of San Marcos|,,$0.00 ,$0.00 ,,Crisis Management
,City of San Marcos,211 SAN DIEGO,emergency housing and support services,,11/10/2016,,"9,615.64",,,CDBG,Technology/Data Services,,,,,,City of San Marcos|,,$0.00 ,$0.00 ,,Crisis Management
,City of San Marcos,211 SAN DIEGO,emergency housing and support services,,1/26/2017,,"7,792.36",,,CDBG,Technology/Data Services,,,,,,City of San Marcos|,,$0.00 ,$0.00 ,,Crisis Management
,City of San Marcos,211 SAN DIEGO,emergency housing and support services,,11/22/2017,,"7,089.64",,,CDBG,Technology/Data Services,,,,,,City of San Marcos|,,$0.00 ,$0.00 ,,Crisis Management
,City of San Marcos,211 SAN DIEGO,emergency housing and support services,,3/1/2018,,"5,405.65",,,CDBG,Technology/Data Services,,,,,,City of San Marcos|,,$0.00 ,$0.00 ,,Crisis Management
,City of San Marcos,211 SAN DIEGO,emergency housing and support services,,4/5/2018,,"5,977.71",,,CDBG,Technology/Data Services,,,,,,City of San Marcos|,,$0.00 ,$0.00 ,,Crisis Management
,City of San Marcos,211 SAN DIEGO,emergency housing and support services,,10/25/2018,,"6,365.52",,,CDBG,Technology/Data Services,,,,,,City of San Marcos|,,$0.00 ,$0.00 ,,Crisis Management
,City of San Marcos,211 SAN DIEGO,emergency housing and support services,,3/7/2019,,"6,483.40",,,CDBG,Technology/Data Services,,,,,,City of San Marcos|,,$0.00 ,$0.00 ,,Crisis Management
,City of San Marcos,211 SAN DIEGO,emergency housing and support services,,4/4/2019,,"5,017.84",,,CDBG,Technology/Data Services,,,,,,City of San Marcos|,,$0.00 ,$0.00 ,,Crisis Management
,City of San Marcos,211 SAN DIEGO,emergency housing and support services,,4/4/2019,,606.24,,,CDBG,Technology/Data Services,,,,,,City of San Marcos|,,$0.00 ,$0.00 ,,Crisis Management
,City of San Marcos,211 SAN DIEGO,emergency housing and support services,,11/1/2019,,"1,684.00",,,CDBG,Technology/Data Services,,,,,,City of San Marcos|,,$0.00 ,$0.00 ,,Crisis Management
,City of San Marcos,211 SAN DIEGO,emergency housing and support services,,11/1/2019,,"7,089.64",,,CDBG,Technology/Data Services,,,,,,City of San Marcos|,,$0.00 ,$0.00 ,,Crisis Management
,City of San Marcos,211 SAN DIEGO,emergency housing and support services,,1/31/2020,,"9,699.36",,,CDBG,Technology/Data Services,,,,,,City of San Marcos|,,$0.00 ,$0.00 ,,Crisis Management
,City of San Marcos,211 SAN DIEGO,emergency housing and support services,,10/22/2020,,"15,307.56",,,CDBG,Technology/Data Services,,,,,,City of San Marcos|,,$0.00 ,$0.00 ,,Crisis Management
,City of San Marcos,211 SAN DIEGO,emergency housing and support services,,1/20/2021,,"14,078.24",,,CDBG,Technology/Data Services,,,,,,City of San Marcos|,,$0.00 ,$0.00 ,,Crisis Management
,City of San Marcos,211 SAN DIEGO,emergency housing and support services,,4/21/2021,,"14,229.80",,,CDBG,Technology/Data Services,,,,,,City of San Marcos|,,$0.00 ,$0.00 ,,Crisis Management
,City of San Marcos,211 SAN DIEGO,emergency housing and support services,,7/28/2021,,"9,355.04",,,CDBG,Technology/Data Services,,,,,,City of San Marcos|,,$0.00 ,$0.00 ,,Crisis Management
,City of San Marcos,211 SAN DIEGO,emergency housing and support services,,7/28/2021,,"1,793.04",,,CDBG,Technology/Data Services,,,,,,City of San Marcos|,,$0.00 ,$0.00 ,,Crisis Management
,City of San Marcos,211 SAN DIEGO,emergency housing and support services,,10/27/2021,,"13,556.20",,,CDBG,Technology/Data Services,,,,,,City of San Marcos|,,$0.00 ,$0.00 ,,Crisis Management
,City of San Marcos,211 SAN DIEGO,emergency housing and support services,,4/27/2022,,"16,368.48",,,CDBG,Technology/Data Services,,,,,,City of San Marcos|,,$0.00 ,$0.00 ,,Crisis Management
,City of San Marcos,211 SAN DIEGO,emergency housing and support services,,5/18/2022,,"19,921.72",,,CDBG,Technology/Data Services,,,,,,City of San Marcos|,,$0.00 ,$0.00 ,,Crisis Management
,City of San Marcos,211 SAN DIEGO,emergency housing and support services,,8/10/2022,,"6,945.60",,,CDBG,Technology/Data Services,,,,,,City of San Marcos|,,$0.00 ,$0.00 ,,Crisis Management
,City of Santee,CRISIS HOUSE,case management services,,8/10/2015,,$442.86 ,,,CDBG (Program Year 2015),,,,,,,"City of Santee|Address homeless issues through case management; provide food, shelter vouchers, and referrals.",,$0.00 ,$0.00 ,,Crisis Management
,City of Santee,CRISIS HOUSE,case management services,,9/14/2015,,$457.81 ,,,CDBG (Program Year 2015),,,,,,,"City of Santee|Address homeless issues through case management; provide food, shelter vouchers, and referrals.",,$0.00 ,$0.00 ,,Crisis Management
,City of Santee,CRISIS HOUSE,case management services,,10/9/2015,,$481.80 ,,,CDBG (Program Year 2015),,,,,,,"City of Santee|Address homeless issues through case management; provide food, shelter vouchers, and referrals.",,$0.00 ,$0.00 ,,Crisis Management
,City of Santee,CRISIS HOUSE,case management services,,11/5/2015,,$482.33 ,,,CDBG (Program Year 2015),,,,,,,"City of Santee|Address homeless issues through case management; provide food, shelter vouchers, and referrals.",,$0.00 ,$0.00 ,,Crisis Management
,City of Santee,CRISIS HOUSE,case management services,,12/9/2015,,$445.43 ,,,CDBG (Program Year 2015),,,,,,,"City of Santee|Address homeless issues through case management; provide food, shelter vouchers, and referrals.",,$0.00 ,$0.00 ,,Crisis Management
,City of Santee,CRISIS HOUSE,case management services,,1/7/2016,,$494.00 ,,,CDBG (Program Year 2015),,,,,,,"City of Santee|Address homeless issues through case management; provide food, shelter vouchers, and referrals.",,$0.00 ,$0.00 ,,Crisis Management
,City of Santee,CRISIS HOUSE,case management services,,2/3/2016,,$475.89 ,,,CDBG (Program Year 2015),,,,,,,"City of Santee|Address homeless issues through case management; provide food, shelter vouchers, and referrals.",,$0.00 ,$0.00 ,,Crisis Management
,City of Santee,CRISIS HOUSE,case management services,,3/7/2016,,$477.23 ,,,CDBG (Program Year 2015),,,,,,,"City of Santee|Address homeless issues through case management; provide food, shelter vouchers, and referrals.",,$0.00 ,$0.00 ,,Crisis Management
,City of Santee,CRISIS HOUSE,case management services,,4/7/2016,,$421.48 ,,,CDBG (Program Year 2015),,,,,,,"City of Santee|Address homeless issues through case management; provide food, shelter vouchers, and referrals.",,$0.00 ,$0.00 ,,Crisis Management
,City of Santee,CRISIS HOUSE,case management services,,5/10/2016,,$458.39 ,,,CDBG (Program Year 2015),,,,,,,"City of Santee|Address homeless issues through case management; provide food, shelter vouchers, and referrals.",,$0.00 ,$0.00 ,,Crisis Management
,City of Santee,CRISIS HOUSE,case management services,,6/7/2016,,$362.78 ,,,CDBG (Program Year 2015),,,,,,,"City of Santee|Address homeless issues through case management; provide food, shelter vouchers, and referrals.",,$0.00 ,$0.00 ,,Crisis Management
,City of Santee,CRISIS HOUSE,case management services,,9/9/2016,,$501.83 ,,,CDBG (Program Year 2016),,,,,,,"City of Santee|Address homeless issues through case management; provide food, shelter vouchers, and referrals.",,$0.00 ,$0.00 ,,Crisis Management
,City of Santee,CRISIS HOUSE,case management services,,10/10/2016,,$470.35 ,,,CDBG (Program Year 2016),,,,,,,"City of Santee|Address homeless issues through case management; provide food, shelter vouchers, and referrals.",,$0.00 ,$0.00 ,,Crisis Management
,City of Santee,CRISIS HOUSE,case management services,,8/9/2016,,$424.31 ,,,CDBG (Program Year 2016),,,,,,,"City of Santee|Address homeless issues through case management; provide food, shelter vouchers, and referrals.",,$0.00 ,$0.00 ,,Crisis Management
,City of Santee,CRISIS HOUSE,case management services,,11/9/2016,,$451.37 ,,,CDBG (Program Year 2016),,,,,,,"City of Santee|Address homeless issues through case management; provide food, shelter vouchers, and referrals.",,$0.00 ,$0.00 ,,Crisis Management
,City of Santee,CRISIS HOUSE,case management services,,12/12/2016,,$419.53 ,,,CDBG (Program Year 2016),,,,,,,"City of Santee|Address homeless issues through case management; provide food, shelter vouchers, and referrals.",,$0.00 ,$0.00 ,,Crisis Management
,City of Santee,CRISIS HOUSE,case management services,,1/10/2017,,$445.41 ,,,CDBG (Program Year 2016),,,,,,,"City of Santee|Address homeless issues through case management; provide food, shelter vouchers, and referrals.",,$0.00 ,$0.00 ,,Crisis Management
,City of Santee,CRISIS HOUSE,case management services,,2/10/2017,,$447.79 ,,,CDBG (Program Year 2016),,,,,,,"City of Santee|Address homeless issues through case management; provide food, shelter vouchers, and referrals.",,$0.00 ,$0.00 ,,Crisis Management
,City of Santee,CRISIS HOUSE,case management services,,3/10/2017,,$412.28 ,,,CDBG (Program Year 2016),,,,,,,"City of Santee|Address homeless issues through case management; provide food, shelter vouchers, and referrals.",,$0.00 ,$0.00 ,,Crisis Management
,City of Santee,CRISIS HOUSE,case management services,,4/10/2017,,$456.49 ,,,CDBG (Program Year 2016),,,,,,,"City of Santee|Address homeless issues through case management; provide food, shelter vouchers, and referrals.",,$0.00 ,$0.00 ,,Crisis Management
,City of Santee,CRISIS HOUSE,case management services,,5/9/2017,,$394.03 ,,,CDBG (Program Year 2016),,,,,,,"City of Santee|Address homeless issues through case management; provide food, shelter vouchers, and referrals.",,$0.00 ,$0.00 ,,Crisis Management
,City of Santee,CRISIS HOUSE,case management services,,6/12/2017,,$448.76 ,,,CDBG (Program Year 2016),,,,,,,"City of Santee|Address homeless issues through case management; provide food, shelter vouchers, and referrals.",,$0.00 ,$0.00 ,,Crisis Management
,City of Santee,CRISIS HOUSE,case management services,,7/10/2017,,$127.85 ,,,CDBG (Program Year 2016),,,,,,,"City of Santee|Address homeless issues through case management; provide food, shelter vouchers, and referrals.",,$0.00 ,$0.00 ,,Crisis Management
,City of Santee,CRISIS HOUSE,case management services,,10/6/2017,,$472.32 ,,,CDBG (Program Year 2017),,,,,,,"City of Santee|Address homeless issues through case management; provide food, shelter vouchers, as well as skill development for long-term self-sufficiency to 200 residents.",,$0.00 ,$0.00 ,,Crisis Management
,City of Santee,CRISIS HOUSE,case management services,,9/13/2017,,$470.52 ,,,CDBG (Program Year 2017),,,,,,,"City of Santee|Address homeless issues through case management; provide food, shelter vouchers, as well as skill development for long-term self-sufficiency to 200 residents.",,$0.00 ,$0.00 ,,Crisis Management
,City of Santee,CRISIS HOUSE,case management services,,11/6/2017,,$453.77 ,,,CDBG (Program Year 2017),,,,,,,"City of Santee|Address homeless issues through case management; provide food, shelter vouchers, as well as skill development for long-term self-sufficiency to 200 residents.",,$0.00 ,$0.00 ,,Crisis Management
,City of Santee,CRISIS HOUSE,case management services,,8/10/2017,,$132.58 ,,,CDBG (Program Year 2017),,,,,,,"City of Santee|Address homeless issues through case management; provide food, shelter vouchers, as well as skill development for long-term self-sufficiency to 200 residents.",,$0.00 ,$0.00 ,,Crisis Management
,City of Santee,CRISIS HOUSE,case management services,,12/11/2017,,$467.57 ,,,CDBG (Program Year 2017),,,,,,,"City of Santee|Address homeless issues through case management; provide food, shelter vouchers, as well as skill development for long-term self-sufficiency to 200 residents.",,$0.00 ,$0.00 ,,Crisis Management
,City of Santee,CRISIS HOUSE,case management services,,12/31/2017,,$438.50 ,,,CDBG (Program Year 2017),,,,,,,"City of Santee|Address homeless issues through case management; provide food, shelter vouchers, as well as skill development for long-term self-sufficiency to 200 residents.",,$0.00 ,$0.00 ,,Crisis Management
,City of Santee,CRISIS HOUSE,case management services,,1/31/2018,,$498.64 ,,,CDBG (Program Year 2017),,,,,,,"City of Santee|Address homeless issues through case management; provide food, shelter vouchers, as well as skill development for long-term self-sufficiency to 200 residents.",,$0.00 ,$0.00 ,,Crisis Management
,City of Santee,CRISIS HOUSE,case management services,,2/28/2018,,$390.84 ,,,CDBG (Program Year 2017),,,,,,,"City of Santee|Address homeless issues through case management; provide food, shelter vouchers, as well as skill development for long-term self-sufficiency to 200 residents.",,$0.00 ,$0.00 ,,Crisis Management
,City of Santee,CRISIS HOUSE,case management services,,4/10/2018,,$417.11 ,,,CDBG (Program Year 2017),,,,,,,"City of Santee|Address homeless issues through case management; provide food, shelter vouchers, as well as skill development for long-term self-sufficiency to 200 residents.",,$0.00 ,$0.00 ,,Crisis Management
,City of Santee,CRISIS HOUSE,case management services,,4/30/2018,,$394.83 ,,,CDBG (Program Year 2017),,,,,,,"City of Santee|Address homeless issues through case management; provide food, shelter vouchers, as well as skill development for long-term self-sufficiency to 200 residents.",,$0.00 ,$0.00 ,,Crisis Management
,City of Santee,CRISIS HOUSE,case management services,,5/31/2018,,$435.04 ,,,CDBG (Program Year 2017),,,,,,,"City of Santee|Address homeless issues through case management; provide food, shelter vouchers, as well as skill development for long-term self-sufficiency to 200 residents.",,$0.00 ,$0.00 ,,Crisis Management
,City of Santee,CRISIS HOUSE,case management services,,6/30/2018,,$428.28 ,,,CDBG (Program Year 2017),,,,,,,"City of Santee|Address homeless issues through case management; provide food, shelter vouchers, as well as skill development for long-term self-sufficiency to 200 residents.",,$0.00 ,$0.00 ,,Crisis Management
,City of Santee,CRISIS HOUSE,case management services,,9/11/2018,,$480.40 ,,,CDBG (Program Year 2018),,,,,,,"City of Santee|Address homeless issues through case management, provide food, shelter vouchers, and skill development for long-term self sufficiency",,$0.00 ,$0.00 ,,Crisis Management
,City of Santee,CRISIS HOUSE,case management services,,8/10/2018,,$442.24 ,,,CDBG (Program Year 2018),,,,,,,"City of Santee|Address homeless issues through case management, provide food, shelter vouchers, and skill development for long-term self sufficiency",,$0.00 ,$0.00 ,,Crisis Management
,City of Santee,CRISIS HOUSE,case management services,,10/10/2018,,$416.17 ,,,CDBG (Program Year 2018),,,,,,,"City of Santee|Address homeless issues through case management, provide food, shelter vouchers, and skill development for long-term self sufficiency",,$0.00 ,$0.00 ,,Crisis Management
,City of Santee,CRISIS HOUSE,case management services,,11/9/2018,,$478.79 ,,,CDBG (Program Year 2018),,,,,,,"City of Santee|Address homeless issues through case management, provide food, shelter vouchers, and skill development for long-term self sufficiency",,$0.00 ,$0.00 ,,Crisis Management
,City of Santee,CRISIS HOUSE,case management services,,12/10/2018,,$458.65 ,,,CDBG (Program Year 2018),,,,,,,"City of Santee|Address homeless issues through case management, provide food, shelter vouchers, and skill development for long-term self sufficiency",,$0.00 ,$0.00 ,,Crisis Management
,City of Santee,CRISIS HOUSE,case management services,,12/31/2018,,$441.02 ,,,CDBG (Program Year 2018),,,,,,,"City of Santee|Address homeless issues through case management, provide food, shelter vouchers, and skill development for long-term self sufficiency",,$0.00 ,$0.00 ,,Crisis Management
,City of Santee,CRISIS HOUSE,case management services,,1/31/2019,,$504.52 ,,,CDBG (Program Year 2018),,,,,,,"City of Santee|Address homeless issues through case management, provide food, shelter vouchers, and skill development for long-term self sufficiency",,$0.00 ,$0.00 ,,Crisis Management
,City of Santee,CRISIS HOUSE,case management services,,3/11/2019,,$431.36 ,,,CDBG (Program Year 2018),,,,,,,"City of Santee|Address homeless issues through case management, provide food, shelter vouchers, and skill development for long-term self sufficiency",,$0.00 ,$0.00 ,,Crisis Management
,City of Santee,CRISIS HOUSE,case management services,,4/9/2019,,$441.01 ,,,CDBG (Program Year 2018),,,,,,,"City of Santee|Address homeless issues through case management, provide food, shelter vouchers, and skill development for long-term self sufficiency",,$0.00 ,$0.00 ,,Crisis Management
,City of Santee,CRISIS HOUSE,case management services,,5/14/2019,,$457.41 ,,,CDBG (Program Year 2018),,,,,,,"City of Santee|Address homeless issues through case management, provide food, shelter vouchers, and skill development for long-term self sufficiency",,$0.00 ,$0.00 ,,Crisis Management
